,Model,Bio_term,Title,Link,Citations,Year,Explicit use of the model,Model applied to biological research,Outcome and implications based on model,Keep,Notes
157,random forest,phylogenomics,Phylogenomics reveal DcTPS-mediated terpenoid accumulation and environmental response in Dendrobium catenatum,https://www.sciencedirect.com/science/article/pii/S0926669023015649,1,2024,,,,,
158,random forest,systems biology,Application of machine learning in systems biology,https://search.proquest.com/openview/829d9d54407d6bba6de1b462e2b77609/1?pq-origsite=gscholar&cbl=2026366&diss=y,1,2020,,,,,
159,random forest,systems biology,Graph-guided random forest for gene set selection,https://arxiv.org/abs/2108.11674,1,2021,,,,,
160,random forest,systems biology,Systems Biology Approaches to Understanding COVID-19 Spread in the Population,https://link.springer.com/protocol/10.1007/978-1-0716-3577-3_15,1,2023,,,,,
161,random forest,environmental biology,Gill microbiomes accurately predict the geographic origin of bonefish (Albula vulpes) when combined with machine learning models,https://link.springer.com/article/10.1007/s10641-023-01462-6,1,2023,,,,,
162,random forest,environmental biology,"Climate regulation processes are linked to the functional composition of plant communities in European forests, shrublands, and grasslands",https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.17189,1,2024,,,,,
163,random forest,immunology,Seeing the forest for the trees: evaluating population data in allergy-immunology,https://www.sciencedirect.com/science/article/pii/S2213219821010102,1,2021,,,,,
164,random forest,immunology,A random forest classifier uses antibody responses to Plasmodium antigens to reveal candidate biomarkers of the intensity and timing of past exposure to Plasmodium …,https://www.biorxiv.org/content/10.1101/2022.02.16.480705.abstract,1,2022,,,,,
165,random forest,proteomics,Machine Learning of Plasma Proteomics Classifies Diagnosis of Interstitial Lung Disease,https://www.atsjournals.org/doi/abs/10.1164/rccm.202309-1692OC,1,2024,,,,,
166,random forest,proteomics,Using Proteomics Data to Identify Personalized Treatments in Multiple Myeloma: A Machine Learning Approach,https://www.mdpi.com/1422-0067/24/21/15570,1,2023,,,,,
167,random forest,phylogenetics,Applications of machine learning in phylogenetics,https://www.sciencedirect.com/science/article/pii/S1055790324000587,1,2024,,,,,
168,random forest,phylogenetics,A new phylogeny-driven random forest-based classification approach for functional metagenomics,https://ieeexplore.ieee.org/abstract/document/9995554/,1,2022,,,,,
169,random forest,biology,A new approach based on biology-inspired metaheuristic algorithms in combination with random forest to enhance the flood susceptibility mapping,https://www.sciencedirect.com/science/article/pii/S0301479723015785,1,2023,,,,,
170,random forest,metabolomics,Random forest and live single‐cell metabolomics reveal metabolic profiles of human macrophages upon polarization,https://onlinelibrary.wiley.com/doi/abs/10.1002/bit.28494,1,2023,,,,,
171,random forest,metabolomics,Pseudotargeted metabolomics-based random forest model for tracking plant species from herbal products,https://www.sciencedirect.com/science/article/pii/S094471132300288X,1,2023,,,,,
172,random forest,paleontology,Bioclimatic inference based on mammal community using machine learning regression models: perspectives for paleoecological studies,https://www.frontiersin.org/articles/10.3389/fevo.2023.1178379/full?fbclid=IwAR2XclLvpy5oF6ujBMd8qrlYCF6g9rAitkE1uMvKgdT3MCiTJzYYXA9aHPI,1,2023,,,,,
173,random forest,paleontology,Preliminary prioritization on steam flood injection in oil field using random forest regression method,https://iopscience.iop.org/article/10.1088/1755-1315/1127/1/012016/meta,1,2023,,,,,
174,random forest,paleontology,Molecular technology in paleontology and paleobiology: Applications and limitations,https://www.sciencedirect.com/science/article/pii/S1040618224000065,1,2024,,,,,
175,random forest,conservation,A Security-Enhanced Energy Conservation with Enhanced Random Forest Classifier for Low Execution Time Framework (S-2EC-ERF) for Wireless Sensor …,https://www.mdpi.com/2076-3417/14/6/2244,1,2024,,,,,
176,random forest,biogeography,On the rocks: Biogeography and floristic identity of rocky ecosystems in eastern South America,https://onlinelibrary.wiley.com/doi/abs/10.1111/jse.13052,1,2024,,,,,
177,random forest,biogeography,Global diversity and biogeography of potential phytopathogenic fungi in a changing world,https://www.nature.com/articles/s41467-023-42142-4,1,2023,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,

